transaction_id,amount,txn_count_24h,avg_amount_7d,failed_logins,device_change_count,is_rooted,distance_from_last_txn,country_risk_score,session_time,typing_speed,merchant_text,amount_sequence,is_fraud,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110
0,24.088446,0.074985206,24.273026,0.40227565,0.0,0.0,49.734444,0.3837799,181.00145,4.296197,utility bill payment upi,1.586|3.196|5.538|2.819|4.024|4.608|7.912|7.626|6.165|4.030|5.455|5.084|4.522|6.546|7.677|7.852|4.777|4.063|6.114|4.788,0,0.9358121,-1.1699197,0.19078794,-1.1043593,-0.74666286,1.1510562,-0.044475675,2.8263373,0.2552211,0.7158316,0.017394038,-1.7711902,0.4321688,1.7018567,2.181899,0.5913231,1.1385038,-0.2021403,0.26680443,0.09900141,0.62642145,-1.7187095,0.879628,1.98919,1.745862,-1.3272227,-0.734951,1.6020764,1.1141882,0.4933734,-0.08711034,0.3087003,0.009948313,0.21152574,-2.0312521,-0.035688132,2.855848,-0.6140884,-0.80728525,0.03424494,1.7227577,1.9968168,-0.59625834,-0.9647092,-1.0017642,2.29792,-0.011693358,-1.6809208,-0.18961748,-0.19271846,2.161215,-0.37668416,1.1089889,-0.83599466,-0.29133847,1.0192907,0.13877118,-0.38708937,1.2479804,0.3797486,-0.22000632,-0.9695618,1.0559342,-0.03257698,-0.19915742,1.4667066,-1.0146593,0.48898524,-1.2778206,2.2307277,-2.2593253,-1.5584375,0.47274935,1.0439222,-1.2289143,1.6465216,1.1647776,-1.5844837,-0.9772686,-0.0034263134,0.4049739,-1.6735477,-0.62422794,-0.07843205,0.039640546,-0.96035767,-1.9172186,0.12111068,-0.30425382,0.23475605,-0.7578169,-1.1059415,-0.07540275,-1.0904024,0.26274908,-2.4520721,-0.6526068,0.37376583,-1.4351598,-1.4111362,0.26056838,0.20611887,0.81555355,-1.0776781,-0.81097686,0.15602446,-0.13455841,-0.8420339,1.6987331,-1.043193
1,9.629627,2.6020236,5.925161,0.0,0.0,0.0,14.696479,0.33121455,46.50389,4.073083,fuel station payment online,0.865|1.729|3.271|2.410|1.630|1.242|0.288|2.418|0.984|1.581|1.245|4.439|4.085|2.173|0.123|1.189|4.204|-0.084|2.228|0.325,0,-0.6892772,-0.9130472,0.7330108,0.7933341,0.112237036,-0.65374744,-0.68273497,0.466082,-0.87398404,-0.10316372,-0.87381315,1.3794909,-0.71759385,1.7056235,0.8235038,-0.45386437,-0.014716268,-2.2446918,0.07718387,0.615832,2.1269357,0.63878524,-1.0604432,1.4709312,-0.53644645,-1.4637825,0.2516533,-0.6709504,1.344753,1.9724779,-1.2547569,0.31885934,-1.9521717,-0.01476796,-1.6763945,0.27021158,0.6251268,2.5518596,0.4828323,1.3773359,1.5374681,0.22828355,1.3770106,1.0222719,0.070889816,1.070613,-0.76788414,0.6406381,0.095573604,1.3690736,-2.2416625,0.27016443,-0.47466844,-0.40437865,0.031020314,-1.5757247,-0.89630765,0.658511,-0.5933755,1.1250155,-1.8750471,-0.19119997,0.4115067,-0.12596515,0.37388253,-2.5678442,1.0656936,0.09008607,0.44888157,0.76234066,0.22051623,-1.7535272,-0.33167848,-0.27909997,-0.2957216,-1.1576188,-1.7243536,-2.1945243,0.33941388,0.2548164,0.33298203,1.316185,0.6687163,-1.1997347,-0.4899886,0.33496344,1.363394,0.25016832,-0.6214368,-2.789064,0.7808073,-0.63494074,0.39029935,0.13503481,-0.31475866,1.4830074,-0.6886917,-0.6301092,-1.2771446,0.08032209,0.81975317,-0.09668903,-1.8204678,0.036655158,-0.2685337,0.35351372,1.1711931,-0.7914573,-1.3068948,1.2973462
2,60.298553,0.7964101,68.303185,2.0186024,0.0,0.0,0.0,0.15849426,93.00577,1.9721264,restaurant bill payment card,16.834|6.834|11.700|5.948|13.895|19.767|12.089|12.190|14.244|21.486|14.667|11.596|8.796|10.463|10.057|7.477|11.825|11.178|10.415|11.902,0,-0.31561068,0.42586845,1.9331594,0.5443561,0.6063931,0.9237721,-2.9978137,2.1180015,-0.10473293,-0.80604315,-1.2904292,-0.06375754,-0.58013475,0.23334008,0.0762448,0.09560539,-2.5670521,-0.22117063,0.44194418,-0.776639,1.5512279,-0.29990262,-0.59788346,0.29658163,0.27338058,0.53502214,0.033978604,-2.76478,-0.9731664,-1.235808,-1.1765132,0.59178555,-0.7494091,-0.90666527,-0.3251294,-0.6008436,1.5503011,-0.4749689,-1.1595964,0.19874123,-1.0320266,-0.21380857,0.19202687,-0.5651145,-0.47239965,-0.49284777,-0.91573775,-1.5828874,-2.022264,1.1532753,0.5027752,0.3824259,-0.73630345,-0.3843063,1.5458578,1.2819333,-0.50926495,1.614444,-1.2128894,-0.6105969,-0.086667076,0.9899615,-0.5387199,0.028210241,0.1337553,0.06335817,-1.546607,0.6205919,2.9586694,-0.9481635,-0.2408088,0.75187415,-0.5482153,1.2792761,1.0577337,0.9466727,-0.67767596,0.5135411,-0.061516788,-1.0584111,0.071098804,-0.4937191,-0.25504896,0.71286213,-0.24837413,2.2517745,-0.796415,0.12383661,-0.9299625,0.9730669,0.7817773,-0.09265825,-0.19981046,0.25424862,0.08556279,-0.7425786,-1.6583039,-2.0118113,0.4153574,-0.1784834,-0.98904914,-0.49907592,0.4503458,0.81500846,-0.39096767,-0.06440735,0.33859012,1.0391343,1.1058297,-0.39891493
3,9.273805,3.9236884,7.787045,0.19627567,0.0,0.0,4.8237205,0.15979326,153.03152,4.310199,pharmacy purchase,2.540|-0.401|2.317|0.996|4.832|-0.594|1.495|1.982|1.354|-1.586|1.633|0.823|1.338|2.499|0.473|1.892|2.801|1.237|2.111|3.456,0,1.0551893,-0.09106016,1.3223606,0.49756986,-0.48727217,-1.0680795,-1.6885782,-1.537399,-0.8677108,0.7731408,-0.34901434,1.2481753,1.189221,-0.6125618,0.3186937,0.41865763,0.22444059,-0.48450235,-1.0419557,1.1396289,0.57882416,2.229295,-0.828649,0.27872446,-0.46691442,1.1131372,1.1484524,0.4702062,0.9936731,1.6632996,1.2882669,-0.105419755,-0.3806443,-0.23731871,-0.02899301,0.9149907,-1.719889,-0.5072259,-2.1772277,-0.24606133,0.14478652,-0.3510087,-0.40711078,0.4913387,-0.63122284,-0.54592544,0.15837286,0.15892792,0.3724707,-1.3403484,-0.7488623,2.1141126,2.8444793,0.4990253,-0.9402826,-0.60027695,0.011125118,0.16752177,0.10815805,2.0267122,0.11695361,0.8659661,2.7971349,-1.6497464,-0.7902856,-1.0665883,-2.032235,-0.24542099,-1.018564,-1.1977834,0.6551673,-0.8116897,-0.04543197,-1.262897,-1.283514,1.8288363,1.2462888,-0.66439927,-0.7483032,-1.0238512,-0.13871974,-0.8571357,0.5936911,-0.52640927,-0.52732193,-0.10340456,0.34783363,0.08501302,0.12725164,2.0291598,-0.04328239,1.8944606,0.811694,0.5930411,0.20157976,0.31941545,1.0102136,0.33840752,2.1502073,-1.700459,-3.1081977,-1.0242875,1.0609722,0.10814144,0.91122854,-1.212327,0.7882856,-0.33296865,0.59573996,0.31935835
4,94.04298,4.51471,71.28889,0.0,0.0,0.0,84.0883,0.050691526,143.97119,3.2869081,subscription renewal charge card,16.427|15.695|31.686|14.935|12.425|18.595|17.934|14.672|19.041|20.453|13.747|14.256|25.674|21.668|15.704|16.263|18.284|17.306|9.636|14.788,0,-0.7779263,-0.41947687,-1.6579669,-0.008187197,-1.0928547,1.4424497,-0.7394017,2.0149965,1.0946268,0.0004594922,0.4230963,0.28265458,0.2704335,1.9922422,-0.10614433,-0.58281475,0.419545,-0.8029591,-0.08583573,-2.3877823,-0.039228886,-1.4846754,1.2282501,-1.0145,-1.4229257,0.091440335,0.37426764,-0.65713847,1.4445713,2.1877453,-2.4237545,-0.044039562,-0.042116582,-0.48170474,0.35077757,-0.21433842,-1.0642124,0.14865273,0.3876288,0.082247056,0.11117622,0.0001950562,0.032670293,-0.11391888,-0.59848857,1.577552,-0.727857,3.4539416,1.1444051,1.807311,-1.3222061,0.69880223,-0.18856852,-0.28264576,0.52062416,-0.042708304,-0.96236706,-0.6870407,2.9150286,-0.65595293,-0.4895708,-0.27546084,0.67393184,1.0835567,-0.76723325,-0.7669859,-1.4790084,0.1632404,-0.22515695,-1.9233634,0.46394557,-1.6699419,1.7786357,0.56273675,-0.3003702,-1.0083205,-2.153346,1.4422672,-0.44443148,1.5776362,1.6107463,1.2336488,1.3452567,-0.0058238804,0.13322094,-0.8621459,-0.7066073,-0.47454518,-0.46500868,0.059191108,0.92681885,0.012270987,0.88849545,-0.28357258,0.14800748,-0.6766049,0.31031942,0.6765795,1.1018964,0.97665006,2.4428396,-1.722818,0.20033865,0.09238039,-0.86957866,-0.1927548,-0.59244627,0.93299866,-0.5540454,0.8078333
5,11.656779,4.1244617,8.478966,0.9972576,1.0,0.0,16.862337,0.037130855,27.73499,3.5926945,travel booking payment online,2.391|2.012|0.864|0.494|3.418|1.455|1.356|2.329|2.254|1.723|2.287|1.504|2.087|3.294|0.677|0.779|2.955|2.787|1.392|4.370,0,0.083682895,-0.34108442,-0.00015214086,1.1013749,-1.376907,0.5154952,0.78680825,-0.57917774,-0.21925922,-0.48720577,0.73939353,0.48084486,0.49385062,0.3169667,1.0213037,-2.6646595,-0.23719156,-2.587048,0.13289511,-0.08323078,0.36117285,-1.0694053,0.74293613,0.9833043,1.5666993,-1.1613622,-0.927493,-1.906451,-0.59616727,0.3101789,0.49309808,-1.91014,-0.390345,-0.21467203,1.5798253,-0.39491627,0.032253653,-0.12945437,-2.1332474,-0.2316533,0.17162092,-0.81192297,0.3035051,-0.440416,0.47927293,-1.1985894,0.36690998,0.49352688,-0.7661772,-1.080476,0.8659177,-2.5942688,-0.5523044,-0.72724915,-1.6985426,1.1311395,2.4816847,0.26509732,-0.7935473,0.037820563,1.8932016,-0.9443096,1.6182399,-0.45667964,-0.899881,-1.0690019,-1.4773088,-0.17257017,0.9984181,-1.2774543,1.0320094,1.0958242,-0.82305086,0.43828237,0.36927763,2.0515804,-0.5825846,0.2778563,-1.8328819,0.7562051,-0.97524583,-1.7103916,-1.4056842,0.56602526,0.16414207,-0.41240263,0.6768235,0.85334945,1.7160584,-0.42406017,0.36532182,2.0253782,-1.2312758,-0.7604226,-0.233309,0.8891731,0.20975754,1.6114752,-0.8717739,2.265995,0.015353084,-1.2174519,1.5969715,0.3758009,0.33806503,0.35653704,-1.7453797,0.2530016,-0.08223888,0.5315541
6,42.546173,1.4024086,46.128857,0.5955529,1.0,0.0,5.076243,0.4109988,301.05936,3.5117514,grocery store purchase instore,8.564|6.640|6.934|9.630|6.230|9.190|9.747|9.445|11.519|13.530|6.784|9.438|9.607|5.458|6.276|4.273|6.893|9.826|6.203|8.818,0,-0.29979533,-0.71329355,-0.8613882,0.55892915,-1.4161258,-2.0551052,-0.15127659,1.5424544,-0.44073656,-0.73869497,-1.1180526,0.07205647,1.7017732,-1.3021739,0.43101883,-0.09191954,1.162335,-0.027063608,-0.1279783,0.37566572,-1.7455815,0.8080526,1.2890278,-0.8137437,-0.5928154,-1.8654044,1.2050709,0.76499206,-0.2855559,0.5808165,-0.10672016,0.8992679,-0.27795556,0.3940011,-0.8036921,-1.6893152,-0.27970552,-0.12663153,0.89087635,1.2045304,0.96884555,1.4925396,1.9027779,-0.45470977,-0.4218446,0.36580354,0.0064364076,0.82976764,0.9353021,-0.20527685,-0.8347602,1.7884945,0.6053641,0.68751,1.9501085,0.5331902,0.0530518,1.2969807,-0.97064805,0.5983872,-1.8424968,1.5728452,-0.3358486,0.39792424,-0.3149082,-0.032372087,-2.2911963,-0.047124088,-2.334055,-1.0706216,-0.8575938,0.82514143,-1.4605851,-1.8562257,-1.402084,0.8878619,-0.06940663,-0.6749584,2.1182625,1.4352528,-0.7518532,0.12726422,-0.1891267,-0.5278562,-2.3611524,-0.7336129,0.65894043,-0.9288644,-0.25654733,0.1749458,-1.1160498,0.103681415,-0.2461555,0.09812818,0.26112896,0.9720611,-0.29292548,0.71324325,1.1754822,1.2123853,0.36928514,0.13216817,0.70521843,-2.1217144,-0.9914752,1.3229532,2.3516698,-0.30570713,-0.70964766,-0.57206947
7,21.661266,5.320927,23.091595,0.36356914,0.0,0.0,6.234435,0.37211618,177.75166,3.4681118,online shopping order instore,4.992|4.029|4.006|3.899|4.716|2.298|5.742|1.507|3.346|5.117|3.587|3.015|6.094|7.334|5.755|2.982|3.893|5.350|4.857|3.662,0,-1.7939963,1.0050421,1.1911507,-0.8962778,-1.8318106,0.65377426,3.1612327,-0.568109,-0.6793571,-1.5513436,0.79097193,0.9712358,-1.7989048,-0.5323351,-2.1659658,-0.52271056,-0.8752547,0.38578334,-0.23061083,0.56668,2.419651,1.9677452,0.40360928,-0.6061949,0.5841496,-0.3712504,-1.3220463,-0.096516356,-0.35093957,-1.3317515,-0.16349885,-0.05259467,0.20461452,-0.3594672,0.4868935,0.80403244,0.72718763,0.14350788,0.96683055,1.2431153,1.0600684,-0.46147817,0.44642025,-0.3336746,0.5083133,0.5427132,-1.2618245,2.0890934,-1.2685328,1.5102655,-1.3396469,0.9756111,-0.8857243,0.4339417,0.47396952,0.21318805,1.9373468,-1.2117991,0.14334607,-2.753458,2.1416025,-0.1867573,-0.5091242,0.24183017,0.9235192,-0.7377213,2.1527877,0.24711883,-0.4657951,-0.24033749,0.36619616,-1.6764381,-0.2749056,1.1758021,1.1876299,-1.2166618,-0.015603453,-0.13895321,-0.112157166,-0.7535234,-0.4795344,-0.6897859,0.30617198,0.30702007,-0.39183235,-0.14675777,-0.45075184,1.9113933,0.09596136,-0.4720348,1.458477,0.35997343,-0.3034298,0.55694145,0.4780335,1.2127967,0.5516167,-2.4652019,-0.010023164,-0.7120446,1.6717261,-0.56130195,-1.5754414,-0.19194743,0.1145795,0.6251626,0.69767046,-1.9574481,-0.80012304,0.7821935
8,15.940397,3.714283,14.806698,0.0,1.0,0.0,0.9285926,0.1700471,223.45053,3.2920303,subscription renewal charge online,4.835|1.607|2.013|1.408|3.914|4.889|1.192|3.653|5.097|3.588|4.530|2.855|2.399|5.137|3.067|2.652|3.134|4.395|0.955|1.358,0,0.7704616,-1.082318,-0.12071788,-0.61301064,1.2678531,1.7430944,-2.4668703,0.42284203,1.8647494,3.0373385,0.17171043,0.17566788,-0.39924836,-1.2738074,1.0204465,-0.57549864,0.9252481,-1.418327,-1.5397257,0.56288034,-1.1944932,-1.0553826,0.5513659,-0.8581119,-0.87175375,1.3061656,-0.5973337,0.0005852282,-0.425644,-0.84787756,-0.2665324,0.81932235,0.039677814,1.288207,0.7030064,1.2091599,0.1890343,-1.0831707,1.5568526,-0.55177844,0.550347,0.49574777,-1.0754311,1.0095505,0.627202,-0.6941706,0.08827855,1.0342845,0.24745339,-0.3691154,1.0533216,1.859524,-0.58726555,-0.7516249,0.46360236,1.5549532,-0.7926395,0.13106798,0.09717725,0.6626826,-1.0204399,-0.72498125,-1.356755,0.40998995,1.2655699,-0.54259855,0.075695634,-0.38839084,-0.51614565,-0.4645933,1.6039646,-0.85924715,0.903494,0.5163834,-0.94529253,-0.14286166,0.421408,-0.44968334,-3.0597358,0.21039446,1.2950096,0.22834426,1.2397585,-0.1345096,-2.2033868,0.93992215,-0.0332036,-1.7246234,2.529817,-0.14465185,-1.2899172,-0.74840057,0.09733909,0.9898815,0.7283663,-0.45848748,0.20832291,-0.7214856,-0.9028162,0.36636886,-1.0290632,-0.5359713,0.500143,-0.7320286,-0.8433972,0.6187525,-1.0985135,-0.11111542,0.01754874,1.1356313
9,20.653387,1.9738436,12.831605,0.0,0.0,0.0,10.642832,0.058312308,196.91101,4.03866,travel booking payment card,5.815|4.069|3.018|3.564|4.864|5.755|4.749|5.470|4.067|6.436|4.541|4.710|3.009|5.814|4.627|3.408|4.080|3.872|4.732|3.459,0,0.6812552,-0.038654156,-0.78369963,0.2996631,0.07592353,1.1117141,0.04174058,-1.0686473,-0.12987524,-0.6797528,0.77808046,0.79742813,0.99818337,0.6250199,0.5440793,0.47838104,-0.49106646,1.0284097,-2.1375923,1.0794829,0.7062278,1.8635795,1.7390653,0.92269385,-1.9381622,0.8570944,-0.6990237,0.27585566,-0.051845253,1.4693884,1.085078,0.9883343,0.039011538,-0.2114154,1.2068781,-0.62645704,0.19617356,-0.051206067,1.0790857,-0.07102206,-1.1583078,0.6193,-0.26958308,-1.1827283,0.9258845,0.22354552,0.84274817,-0.0856303,0.93752515,1.3017421,-0.23259512,0.65166414,0.45499653,-0.9247377,0.020050365,1.8531361,1.2794669,2.4418507,1.4855689,-0.20740047,0.015612841,1.3986741,-0.16723086,-0.2487024,-0.29905522,-0.80876386,0.4986912,0.9069425,-1.2094743,0.6383929,0.041594952,-0.007470675,0.80277306,-0.02120319,-0.5941164,-0.9833883,-1.035938,0.692775,-1.6794673,0.33042592,-1.3848519,-0.50886244,0.9216114,0.68528813,0.0038853288,-0.8697312,-0.9446074,0.5555937,-2.3413098,1.2831328,-0.35882312,-0.509148,-0.61981404,-0.9918047,-0.33582744,0.24569467,-1.531446,-0.10556793,-0.18449855,-1.3444529,1.983079,1.6030477,0.42207158,-1.0374467,1.10954,1.0511028,-0.74060524,0.07762653,-1.0276511,0.31885377
